,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,genre
7037,0.607,0.525,2,-4.408,1,0.0367,0.446,0,0.104,0.802,119.981,audio_features,0nkmvo78mFGGRab2BwK37i,spotify:track:0nkmvo78mFGGRab2BwK37i,https://api.spotify.com/v1/tracks/0nkmvo78mFGGRab2BwK37i,https://api.spotify.com/v1/audio-analysis/0nkmvo78mFGGRab2BwK37i,162867,4,Eat My Love,BIBI,popular
7038,0.743,0.689,7,-2.069,1,0.0585,0.0161,0.00157,0.29,0.656,116.004,audio_features,7xTOqnsOV6qHBPWoCWpzGM,spotify:track:7xTOqnsOV6qHBPWoCWpzGM,https://api.spotify.com/v1/tracks/7xTOqnsOV6qHBPWoCWpzGM,https://api.spotify.com/v1/audio-analysis/7xTOqnsOV6qHBPWoCWpzGM,174173,4,I'm Not Cool,HyunA,popular
7039,0.633,0.735,0,-5.733,1,0.0424,0.00691,0,0.37,0.45,81.068,audio_features,249gnXrbfmV8NG6jTEMSwD,spotify:track:249gnXrbfmV8NG6jTEMSwD,https://api.spotify.com/v1/tracks/249gnXrbfmV8NG6jTEMSwD,https://api.spotify.com/v1/audio-analysis/249gnXrbfmV8NG6jTEMSwD,207481,4,Life Goes On,BTS,popular
7040,0.833,0.743,8,-2.916,0,0.0907,0.286,0,0.0862,0.776,179.932,audio_features,5mpWGq83n0sIgGRopGk5QZ,spotify:track:5mpWGq83n0sIgGRopGk5QZ,https://api.spotify.com/v1/tracks/5mpWGq83n0sIgGRopGk5QZ,https://api.spotify.com/v1/audio-analysis/5mpWGq83n0sIgGRopGk5QZ,192808,4,Wrap Me In Plastic,MOMOLAND,popular
7041,0.883,0.845,11,-3.08,0,0.131,0.155,2.59E-06,0.268,0.56,101.027,audio_features,4ecVWqbtW6phQGpZMAyqIU,spotify:track:4ecVWqbtW6phQGpZMAyqIU,https://api.spotify.com/v1/tracks/4ecVWqbtW6phQGpZMAyqIU,https://api.spotify.com/v1/audio-analysis/4ecVWqbtW6phQGpZMAyqIU,177728,4,Not Shy,ITZY,popular
7042,0.566,0.716,1,-1.486,0,0.0911,0.00108,0,0.0675,0.601,163.845,audio_features,6mIjJONoUMvGPT9Kzrab3L,spotify:track:6mIjJONoUMvGPT9Kzrab3L,https://api.spotify.com/v1/tracks/6mIjJONoUMvGPT9Kzrab3L,https://api.spotify.com/v1/audio-analysis/6mIjJONoUMvGPT9Kzrab3L,210893,4,LA DI DA,EVERGLOW,popular
7043,0.821,0.602,5,-2.862,1,0.103,0.0618,0.000946,0.0856,0.5,90.069,audio_features,1t2qYCAjUAoGfeFeoBlK51,spotify:track:1t2qYCAjUAoGfeFeoBlK51,https://api.spotify.com/v1/tracks/1t2qYCAjUAoGfeFeoBlK51,https://api.spotify.com/v1/audio-analysis/1t2qYCAjUAoGfeFeoBlK51,174933,4,Black Mamba,aespa,popular
7044,0.776,0.911,2,-3.853,1,0.272,0.157,0,0.112,0.653,107.952,audio_features,7I0vl97TYZW86qYdgcD1qu,spotify:track:7I0vl97TYZW86qYdgcD1qu,https://api.spotify.com/v1/tracks/7I0vl97TYZW86qYdgcD1qu,https://api.spotify.com/v1/audio-analysis/7I0vl97TYZW86qYdgcD1qu,189287,4,Back Door,Stray Kids,popular
7045,0.477,0.85,3,-3.785,0,0.0538,0.109,0,0.0958,0.64,129.959,audio_features,2tVkFxyePqB0o4Y4SYKV0Q,spotify:track:2tVkFxyePqB0o4Y4SYKV0Q,https://api.spotify.com/v1/tracks/2tVkFxyePqB0o4Y4SYKV0Q,https://api.spotify.com/v1/audio-analysis/2tVkFxyePqB0o4Y4SYKV0Q,187251,4,Breath,GOT7,popular
7046,0.52,0.915,2,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,audio_features,0t1kP63rueHleOhQkYSXFY,spotify:track:0t1kP63rueHleOhQkYSXFY,https://api.spotify.com/v1/tracks/0t1kP63rueHleOhQkYSXFY,https://api.spotify.com/v1/audio-analysis/0t1kP63rueHleOhQkYSXFY,199054,4,Dynamite,BTS,popular
